date,time,slug,caption,status,posted_at
2026-08-01,21:00,launch-appstore,,posted,2026-08-01 22:16 JST
2026-08-03,21:00,basics,,posted,2026-08-03 23:34 JST
2026-08-05,21:00,airport,,posted,2026-08-05 23:04 JST
2026-08-07,21:00,konbini,,posted,2026-08-07 21:58 JST
2026-08-09,21:00,srs-review,,posted,2026-08-09 21:45 JST
2026-08-11,21:00,trains,,posted,2026-08-11 21:59 JST
2026-08-12,21:00,v104-update,,posted,2026-08-12 21:56 JST
2026-08-13,21:00,shopping,,posted,2026-08-13 22:05 JST
2026-08-15,21:00,ramen,,posted,2026-08-15 21:33 JST
2026-08-16,21:00,free-phrasebook,,posted,2026-08-16 16:33 JST
2026-08-17,21:00,promo,,posted,2026-08-17 21:39 JST
2026-08-19,21:00,v105-anime-lines,,posted,2026-08-19 21:42 JST
2026-08-21,21:00,smalltalk,,posted,2026-08-21 21:42 JST
2026-08-23,21:00,school-late-excuses,,posted,2026-08-23 21:36 JST
2026-08-25,21:00,school-latecomers,,posted,2026-08-25 21:43 JST
2026-08-27,21:00,hotel,,posted,2026-08-28 06:46 JST
2026-08-29,18:00,anime-late-excuses,,posted,2026-08-29 17:56 JST
2026-08-29,21:00,lost,,,
