date,time,slug,caption,status,posted_at
2026-09-01,21:00,anime-sensei-instructions,,hold,
2026-09-03,21:00,drugstore,,posted,2026-09-01 03:46 JST
2026-09-05,21:00,anime-lost-in-class,,,
2026-09-07,21:00,tipsy,,,
2026-09-09,21:00,anime-casual-classmate,,,
2026-09-11,21:00,meme-sumimasen,,,
2026-09-13,21:00,anime-fuu-homework,,,
2026-09-15,21:00,clinic,,,
2026-09-17,21:00,flirting,,,
2026-09-19,21:00,meme-textbook,,,
2026-09-21,21:00,dentist,,,
2026-09-23,21:00,catchup,,,
2026-09-25,21:00,hair-salon,,,
2026-09-27,21:00,meme-sou,,,
2026-09-29,21:00,texting,,,
